Regions du monde,Noms vernaculaires local ou francais,Nom vernaculaire anglais,combien,poid commun lb,Ou/quand,Technique de peche,photo,nom scientifique (especes),famille,ordre
37,"Machoiron Passany (F), passani (C )",,20+,5-12,Camp La Canopee - lignes de nuit - juillet 2015,"belee de surface en riviere, accrochee aux arbres, a la carpe",reelle,Arius passany / Ariidae,arridae,siluriformes
37bis,Machoiron Pemecou,,20+,0-3,pointe des roches fevrier 2025,epervier,reelle,Hexanematichthys herzbergii,arridae,siluriformes
38,"Michelot Blanc, machoiron mamango (F)",,20+,1-2,Pointe des roiches - janvier 2023,"a la canne du bord, au mulet",reelle,Cathorops spixii,arridae,siluriformes
39,"Machoiran coco (F), Koko Jandamn (C), bagre, Koko seacatfish",,50+,1-8,"Pointe des Roches, juillet 2017",epervier,reelle,Bagre Bagre,arridae,siluriformes
40,"Machoiron jaune (F), machoiran-jonn (C )",,100+,1-10,"digue des roches, partout, les iles 2023","canne, hamecon 4, parassi",reelle,Arius parkeri,arridae,siluriformes
41,"Coco-fil de mer, blanc jaune rouge",,25+,1-2,Coco-soda embouchure Kourou,"petite ligne , crevette",web,Pseudauchenipterus nodosus,auchenipteridae,siluriformes
42,"Goret, poisson-chat cuirasse, pleco",,10+,1-2,Pointe des Roches - Avril 2011,canne de fond a la digue des rocches - crevette ou mulet,reelle,hypostomus plecostomus (ventromaculatusou Watwata),loricariidae,siluriformes
42bis,"Cron cron, Aspredo aspredo",,10+,0-1,Pointe des Roches - Avril 2011,epervier,web,aspreado aspredo,aspredinidae,siluriformes
43,"poisson-bulle - gros ventre tachete, compere corotuche, puffer, bubulle tigre",,100+,0.5,Pointe des Roches - juillet 2017,epervier,reelle,Sphoeroides testudineus,tetraodontidae,tetraodontiformes
44,"poisson-bulle (gros ventre) a bandes, puffer",,100+,0.5,"Pointe des roches, mares, a rayures - Avril 2011",epervier,reelle,colomesus psittacus,tetraodontidae,tetraodontiformes
45,"crabe des sables, crabe fantome",ghost crab,10+,0.2,plage de Kourou de toujours,epervier,reelle,Ocypode quadrata,ocypodidae,decapoda
46,crabe bleus pointus de l'atlantique,Atlantic blue crab,50+,0.2,plage de Kourou de toujours,epervier ou crochet dans les rochers,reelle,callinectes sapidus,portunidae,decapoda
46bis,crabe nageur rougeatre de Guyane,,20+,0.2,Pointe des Roches,a l'epervier a la pointe des roches,reelle,callinectes bocourti,portunidae,decapoda
47,crevette seabob,Seabob shrimp,50+,0.1,"pointe des Roches, tres frequentes",epervier,web,Xiphopenaeus kroyeri,penaeidae,decapoda
47bis,"crevette guyanaise, koulouri",,10+,0.1,"pointe des Roches, tres frequentes",epervier,reelle,Macrobrachium amazonicum,Palaemonidae,decapoda
48,crevette brune,Brown shrimp,50+,0.1,"pointe des Roches, tres frequentes",epervier,web,Penaeus subtilis,penaeidae,decapoda
1. Guyane riviere,Yaya - rayure jaune,,1,<0.5,Saut Takari Tante 2018,"petite ligne rive, sur fromage ou pain",reelle,Astyanax Meunieri,characidae,characiforme
2,"Yaya commun - Kourou, Sinnamary, Macouria",,5+,<0.5,crique canceler - crique soucourou janvier 2023,petite ligne eperlan sur canne telescopique,reelle,Astyanax bimaculatus,characidae,characiforme
3,"Rhamdia quelen, bagre",,1,2,Macouria - Juillet 2017 - du pont sur la Macouria,"canne legere de rivere, tres petit hamecon",reelle,Rhamdia quelen,heptapteridae,siluriformes
4,"Coulan, ou Koulan barre , Yarrow",,5+,1-2,Macouria - Juillet 2017 - du pont sur la Macouria,"canne legere de rivere, tres petit hamecon",reelle,Hoplerythrinus unitaeniatus,erythrinidae,characiforme
5,aimara,,4+,6-18,"Takari-Tante - juillet 2017, 2018","riviere, Sinnamry, au rapala au jet, en surface, ou belee de rive",reelle,Hoplias aimara,erythrinidae,characiforme
6,Patagaye,,4+,1-3,piste au sud de Macouria,"petite ligne de riviere, petit hamecon",reelle,Hoplias malabaricus,erythrinidae,characiforme
7,"wakou, carpe de st-jean, leporinus trifasciatus-3 queues",,1,1,St Jean du Maroni - juillet 2015,"ligne de riviere, crevette, au fond, petit hamecon",reelle,Leporinus trifasciatus,anostomidae,characiforme
8,Carpe du Sinnamary,,5+,<1,Pont de Sinnamary - janvier 2023,petite ligne eperlan sur canne telescopique,reelle,Leporinus Friderici,characidae,characiforme
8bis,"Carpe a bandes sinnamary, fasciatus",,2,1,Pont de Sinnamary - feb 2025,"petite ligne de riviere, petit hamecon",reelle,Leporinus fasciatus,characidae,characiforme
9,"karp-rouj (C ), carpe tachetee rouge du Kourou, leporinius de Grant (F)",,5+,<1,carbet Francois - degrad pk 15 - juillet 2023,petite ligne eperlan sur canne telescopique,reelle,Leporinus Granti,characidae,characiforme
10,"karp-rouj (C ), carpe rouge du Kourou",,5+,<1,crique du PK18 - juillet 2023,petite ligne eperlan sur canne telescopique,reelle,Leporinus melanostictus,characidae,characiforme
11,"karp-ble (C ), carpe du Kourou, leporinus de Le Bail (F)",,3+,<1,crique du PK18 - juillet 2023,petite ligne eperlan sur canne telescopique,reelle,Leporinus Lebaili,characidae,characiforme
12,weti fisa,,2+,<1,"takari-Tante, juillet 2017","petite canne a eperlan, hamecon n18, fromage",reelle,Moenkhausia grandisquamis (ou georgiae),characidae,characiforme
13,Koumarou / Pacou,,1,2-3,"Takari-Tante, Saut Dalles - juillet 2017, 2018","canne de riviere, au fond, au yaya",reelle,Myleus rhomboidalis,serrasalmidae,characiforme
14,"Pakousin, Pasina tikolokem",,1,1,Saut Takari Tante 2017,"petite ligne rive, sur fromage ou pain",reelle,Myloplus rubripinnis,serrasalmidae,characiforme
15,yaya poptella brevispina,,5+,<1,carbet Francois - degrad pk 15 - juillet 2023,"petite canne a eperlan, hamecon n18, fromage",reelle,poptella brevispina,characidae,characiforme
16,"autre genre de Yaya, rayure blanche",,1,<1,takari-tante 2018,"petite ligne rive, sur fromage ou pain",reelle,pas sur,characidae,characiforme
18,"piranha noir, Pilen",,1,2,"Maripasoula, juillet 2017","canne de riviere, au fond, au poulet ou crevette",reelle,serrasalmus rhombeus,serrasalmidae,characiforme
