Regions du monde,Noms vernaculaires local ou francais,Nom vernaculaire anglais,combien,poid commun lb,Ou/quand,Technique de peche,photo,nom scientifique (especes),famille,ordre
9,requin citron,Lemon shark,2+,7-10,"Salines, Aout 2023, boys","a la canne , appat peau de mahimahi",reelle,"Negaprion brevirostris, Poey 1868",carcharhinidae,Carcharhiniformes
10,requin de recif a nez noir,Reef shark - blacknose,1+,6-8,Shell beach juin 2023,"a la canne, demi perroquet",reelle,carcharhinus acronotus,carcharhinidae,Carcharhiniformes
10bis,requin nourrice,Nurse shark,1+,10,Shell beach Jul 2024,a la canne,reelle,Ginglymostoma cirratum (Bonnasterre 1788),Ginglymostomatidae,Orectolobiformes
11,clipperton crab - Land crab,Clipperton crab,1+,<1,Deve,a la main,reelle,"Johngarthia planata, Stimpson 1860",gegarcinidae,decapoda
11bis,crabe nageur brun,Spinyhand swimming crab,1+,2,Lorient juillet 2025,a la nasse+ epuisette,reelle,achelous (portunus) spinimanus,portunidae,decapoda
12,crabe pince bleue,Atlantic blue crab,30+,<1,Sbh - Avril 2012 - plage de St Jean,"en apnee, pique, lasso",reelle,"Callinectes sapidus, Rathbun 1896",portunidae,decapoda
12bis,Sally pied leger,Sally lightfoot crab,1,1,Gouverneur beach Mai 2025,en snorkelling,reelle,grapsus grapsus,grapsidae,decapoda
13,"langouste bresilienne, Kriket",Brazilian spinny lobster,25+,1-3,Lorient - Aout 2019,"en chasse sous-marine, fusil ou lance hawaienne",reelle,Panulirus guttatus,palinuridae,decapoda
14,"langouste royale, Roumar",Caribbean spinny lobster,25+,1-4,Sbh - Aout 2013,"en chasse sous-marine, fusil ou lance hawaienne",reelle,Panulirus argus,palinuridae,decapoda
14bis,Bernard-l'ermite des caraibes,Carribean hermit crab,20+,<1,jardin aout 2025,en nettoyant le jardin,reelle,Coenobita clypeatus,coenobitidae,decapoda
15,tarpon de Sbh (grantekay),Tarpon,1+,120,port de Gustavia,au surfcasting du bord du quai,reelle,Megalops Atlanticus,megalopidae,elopiforme
16,Marignan - cardinal queue fine,longspine squirrelfish,50+,<1,Baie de Lorient,"en chasse sous-marine, fusil ou lance hawaienne",reelle,"holocentrus rufus, Walbaum 1792",holocentridae,holocentriformes
17,Marignan - cardinal blanc - Kadinal blan,Rough squirrelfish,25+,<1,shell beach,"en chasse sous-marine, fusil ou lance hawaienne",reelle,"holocentrus adscensionis, Osbeck 1765",holocentridae,holocentriformes
17bis,Marignan - cardinal longue epine,Longjaw squirrelfish,10+,<1,shell beach,"en chasse sous-marine, fusil ou lance hawaienne",reelle,Neoniphon marianus,holocentridae,holocentriformes
17ter,"Mombins, Mouben",Blackbar soldierfish,10+,<1,shell beach,"en chasse sous-marine, fusil ou lance hawaienne",reelle,Myripristis jacobus,holocentridae,holocentriformes
18,puddingwife wrasse - Halichoeres radiatus 2,Puddingwife wrasse,10+,<1,Ptit cul de sac aug 2023,canne lancer petite moyenne,reelle,"Halichoeres radiatus, Linnaeus 1758",labridae,labriformes
19,slipery dick - SBH,Slippery dick,10+,<1,Ptit cul de sac aug 2023-2024-2025,canne lancer petite moyenne,reelle,"halichoeres bivittatus, Bloch 1791",labridae,labriformes
20,"Girelle-paon a tete bleue, bluehead wrasse",Bluehead wrasse,1,<1,port de gustavia,petite canne legere,reelle,"thalassoma bifasciatum, Bloch 1791",labridae,labriformes
20bis,Girelle nettoyeuse commune,Bkuestreak cleaner wrasse,5,<1,port de gustavia,nasse parapluie,reelle,Labroides dimidiatus,labridae,labriformes
21,perroquet redband parrotfish,Redband parrotfish,50+,1-3,un peu partout,"en chasse sous-marine, fusil ou lance hawaienne",reelle,"sparisoma aurofrenatum, Valenciennes 1840",scaridae,labriformes
22,Emerald Parrotfish Nicholsina,Emerald Parrotfish Nicholsina,10+,1-3,Christopher - Aout 2016 - petit culde sac 2023,"en chasse sous-marine, fusil ou lance hawaienne",reelle,"Nicholsina usta, Valenciennes 1840",scaridae,labriformes
23,Redfin parrotfish,Redfin parrtofish,100+,1-3,Pointe Milou - Christopher - Aout 2016 - chasse,"en chasse sous-marine, fusil ou lance hawaienne",reelle,"Sparisoma rubripinne, Valenciennes 1840",scaridae,labriformes
24,perroquet princesse,Princess parrotfish,10+,1-3,"Corrosol - aout 2019, shell beach juin 2023","en chasse sous-marine, fusil ou lance hawaienne",reelle,"Scarus taeniopterus, Lesson 1829",scaridae,labriformes
25,perroquet feu tricolore,Stoplight parrotfish,100+,1-3,Lorient - Aout 2019,"en chasse sous-marine, fusil ou lance hawaienne",reelle,"sparisoma viride, Bonnaterre 1788",scaridae,labriformes
27,Mulet blanc,White mullet,20+,<1,grand cul de sac,epervier grand cul de sac,reelle,"Mugil curema, Valenciennes 1836",mugilidae,mugiliforme
28,raie pastenague des Antilles,Southern stingray,1,6-10,Lorient - Aout 2014 - chasse,"en chasse sous-marine, fusil ou lance hawaienne",reelle,Hypanus americanus,dasyatidae,myliobatiformes
29,Calmar de récif des Caraïbes,Carribean reef squid,20+,<0.5,Shell beach - Aout 2013,"en chasse sous-marine, fusil ou lance hawaienne",reelle,"Sepioteuthis sepioidea, Blainville 1823",loliginidae,Myopsida
30,pieuvre de recif caraibes,carribean reef octopus,1,1,Shell beach,"en chasse sous-marine, fusil ou lance hawaienne",web,"Octopus briareus, Robson 1929",octopodidae,octopoda
31,poisson chirurgien bleu,Surgeonfish,2,1-3,Anse Marechal - Aout 2010,"en chasse sous-marine, fusil ou lance hawaienne",reelle,"Acanthurus coeruleus, Rafinesque 1810",acanthuridae,Acanthuriformes
32,Blanche (En yellowfin tidewater mojarra),yellowfin tidewarer mojarra,1,<0.5,plage de salines - aout 2023,canne telescopique,reelle,Eucinostomus harengulus,gerreidae,perciforme
33,gorette bleue (ou gorette catire),Bluestriped grunt,10+,1-3,Anse Marechal Aug10 - ptit culdesac 2023,"en chasse sous-marine, fusil ou lance hawaienne",reelle,"Haemulon sciurus, Shaw 1803",haemulidae,perciforme
34,gorette jaune (French grunt),French grunt,10+,1-3,digue de Gustavia - Aout 2019,a la dandinette du bord,reelle,"Haemulon flavolineatum, desmarest 1823",haemulidae,perciforme
34bis,gorette doree (Tomtate grunt),Tomtate grunt,3+,1,corrosol aug24,a la canne du bord,reelle,Haemulon aurolineatum,haemulidae,perciforme
34ter,Gorette charbonnier,Caesar grunt,1,1,shell beach 2024,a la dandinette du bord,reelle,Haemulon carbonarium,haemulidae,perciforme
35,"Lippu, black margate",Black margate,2+,1-2,Corrosol - aout 2019,"en chasse sous-marine, fusil ou lance hawaienne",reelle,"anisotremus surinamiensis, Bloch 1791",haemulidae,perciforme
36,"Sarde blanche, white margate snapper",White margate snapper,3+,1-3,"Christopher bay, sbh","en chasse sous-marine, fusil ou lance hawaienne",reelle,lutjanus mahogoni,lutjanidae,perciforme
37,Bermuda chubb - Agouti,Bermuda chubb,2+,2-4,Corrosol - aout 2019,"en chasse sous-marine, fusil ou lance hawaienne",reelle,"kyphosus sectratrix, Carolus Linnaeus 1758",Kyphosidae,perciforme
37.bis,Mutton snapper,Mutton snapper,2,12,Corrosol - aout 2024,a la canne au gros de nuit,reelle,"Lutjanus analis, Cuvier 1828",lutjanidae,perciforme
38,vivanneau jaune,schoolmaster snapper,1+,1-3,grand cul de sac - aout 2020,petite canne legere,reelle,Lutjanus apodus,lutjanidae,perciforme
39,Sarde dents de chien,Dog snapper,1+,2-5,port de gustavia - aout 2023 Alexis,petite canne legere,reelle,"Lutjanus jocu, Bloch & Schneider 1801",lutjanidae,perciforme
39bis,vivanneau gazou,Lane snapper,1+,<1,Plage de Lorient,petite canne legere,reelle,Lutjanus synagris,lutjanidae,perciforme
40,"Colas, vivanneau a queue jaune",Yellowtail snapper,5+,1-2,port de gustavia,"dandinette, canne legere",reelle,"Ocyurus chrysurus, T.N. Gill, 1862",lutjanidae,perciforme
41,sergeant major,"Coral fish, pilot fish",5+,<1,port de gustavia,petite canne legere,reelle,"abudefduf saxatillis, Linnaeus 1758",pomacentridae,subseries Ovalentaria
41bis,demoiselle caraibes,dusky damselfish,1,<1,port de gustavia,nasse parapluie,reelle,Stegastes adustus,pomacentridae,subseries Ovalentaria
42,poisson soleil - beauclaire,Glasseye snapper,10+,1-2,"Salines, shell beach","en chasse sous-marine, fusil ou lance hawaienne",reelle,"priacanthus cruentatus, Lacepede 1801",priacanthidae,perciforme
43,bonite a ventre raye ou thon listao,Skipjack tuna,1+,4-7,Sbh - aout 2004 - peche a la traine,"a la traine au large de Gustavia, cote Caraibes",reelle,Katsuwonus pelamis,scombridae,scombriformes
44,"merou - grande gueule, merou couronne",Red hind,50+,2-6,Pointe Milou - Christopher,"en chasse sous-marine, fusil ou lance hawaienne",reelle,"Epinephelus guttatus, Linnaeus 1758",serranidae,perciforme
44bis,Merou - vieille de roche,Graysby,20+,2-4,"Salines, shell beach","en chasse sous-marine, fusil ou lance hawaienne",reelle,"Cephalopholis cruentata, Lacepede 1802",serranidae,perciforme
45,"merou raye, de Nassau, merou raye",Nassau grouper,10+,2-4,Pointe Milou - Christopher - Janvier 2018 - chasse,"en chasse sous-marine, fusil ou lance hawaienne",reelle,Epinephelus striatus,serranidae,perciforme
45bis,Merou a tache rouge,coral hind,1+,3,rocher en face de salines 2024,"en chasse sous-marine, fusil ou lance hawaienne",reelle,Cephalopholis miniata,serranidae,perciforme
46,"Merou Waliwa, oualioua",Rock hind,5+,1-2,Ptit cul de sac aug 2023,"a la canne telescopique, crevette",reelle,Epinephelus adscensionis,serranidae,perciforme
46bis,"Merou celeste , meru a points bleus",Coney,1,1,shell beach,"a la canne telescopique, crevette",reelle,Cephalopholis fulva,serranidae,perciforme
47,carrelet paon,Peacock flounder,10+,1-2,Baie de Lorient,"en chasse sous-marine, fusil ou lance hawaienne",reelle,bothus lunatus,bothidae,pleuronectiforme
49,poisson coffre Zinga tachete,Spotted trunfish,25+,<1,Lorient - Aout 2019,"en chasse sous-marine, fusil ou lance hawaienne",reelle,"Lactophrys bicaudalis, Linnaeus 1758",ostraciidae,tetraodontiformes
50,poisson coffre - poisson vache a cornes,Honeycomb cowfish,25+,<1,Corrosol - aout 2019,"en chasse sous-marine, fusil ou lance hawaienne",reelle,"Acanthostracion polygonius, Poey 1876",ostraciidae,tetraodontiformes
51,Girelle - clown wrasse juvenile,Juvenile clown wrasse,5+,<1,Shell beach,nasse parapluie,reelle,Halochoeres maculipinna,labridae,labriformes
52,Girelle - clown wrasse intermediate phase,Intermediate clown wrasse,5+,<1,Shell beach,nasse parapluie,reelle,Halochoeres maculipinna,labridae,labriformes
53,Girelle - labre a tete jaune - juvenile,Yellowhead wrasse,1,<1,Shell beach,nasse parapluie,reelle,Halochoeres garnoti,labridae,labriformes
54,Poisson porc-epic,Spot-fin porcupinefish,1,10+,Corrosol aout 2024,"grosse canne, hamecon ferre",reelle,Diodon Hystrix,diodontidae,tetraodontiformes
55,Baliste orange,orangeside triggerfish,1,6,"rocher au large de Salines, aout 2024",chasse sous-marine,reelle,sufflament verres,balistidae,tetraodontiformes
1. Atlantique Est,Brochet,Pike of Sweden,1,3-5,Suede,A la ligne du bateau,reelle,Esox lucius,esocidae,esociforme
2,marlin bleu - 130 kilos,Blue marlin,1,260,Senegal,peche au large a la traine,web,Makaira nigricans / istiophoridae,istiophoridae,istiophoriforme
3,pievre commune casa,common octopus,2,1,Casablanca - Atlantic beach; porquerolles; corse,"a la rocaille a pied, avec un crochet",web,Octopus vulgaris,octopodidae,octopoda
4,Perch of sweden,Swedish perch,1,2-4,Suede,A la ligne du bateau,reelle,Perca fluviatilis,percidae,perciforme
5,Crabe royal du Kamtchatka,Red king crab,1,5,"Norvege - Kirkenes, Barents sea",,reelle,Paralithodes camtschaticus,lithodidae,decapoda
6,pagre - pageot commun,Red porgy,1,2-4,Casablanca - Tahiti beach,a la canne lancer du bord,web,Pagrus pagrus,sparidae,spariformes
7,dorade rose - pageot d'afrique,Red pandora,1,2-4,Casablanca - Tahiti beach,a la canne lancer du bord,web,Pagellus bellottii,sparidae,spariformes
1. Pacifique-Mer de Chine,White trevally fish,white trevally fish,1,1-2,New Zeeland - Baie d'Auckland June2019-palangrotte 45m,"au leurre/rapala de fond , sans ferrer",reelle,Pseudocaranx dentex,carangidae,carangiforme
2,yellowtail amberjack,yellowtail amberjack,1,1-2,New Zeeland - Baie d'Auckland June2019-palangrotte 45m,"au leurre/rapala de fond , sans ferrer",reelle,Seriola lalandi,carangidae,carangiforme
3,Calmar indien,Vietnam squid,5+,<1,Viet-nam - Baie d'Halong - 25Dec 2013,A la turlutte (dandinette avec un leurre a pointe verticale),reelle,uroteuthis duvaucelii,Loliginidae,myopsida
4,red scorpionfish,red scorpionfish,1,1,New Zeeland - Baie d'Auckland June2019-palangrotte 45m,"au leurre/rapala de fond , sans ferrer",reelle,Scorpaena scrofa,scorpaenidae,scorpaeniforme
5,auckland snapper,Auckland snapper,10+,2-4,New Zeeland - Baie d'Auckland June2019-palangrotte 45m,"au leurre/rapala de fond , sans ferrer",reelle,Pagrus auratus,sparidae,spariformes
6,Poisson-lapin brun,brown rabbitfish,1,<1,Viet-nam - Phu Quoc Island,"dandinette, canne legere, au calamar",reelle,siganus fuscescens,siganidae,Acanthuriformes
1. Ocean Indien et asie du Sud-est,Balliste carene ou ligne blanche (nom vernac. Bouche),Blackbar triggerfish,1,2,maurice noel 2016 palangrotte corail 10-15m,a la palangrotte / dandinette - 10m,reelle,sufflamen bursa,balistidae,tetraodontiformes
2,"carangue bleue, ou a nageoires bleues",Bluefin trevally,10,1,Rodrigues noel 2016 - traine au bord,a la traine autour de l'ile,reelle,Caranx melampygus,carangidae,carangiforme
3,lionnette - ecureuil diademe,Crown squirrelfish,1,<1,maurice noel 2016 palangrotte corail 10-15m,a la palangrotte / dandinette - 10m,reelle,Sargocentron diadema,holocentridae,holocentriformes
4,rasoir (ecureuil grandes machoires),Sabre squirrelfish,1,<1,maurice noel 2016 palangrotte corail 10-15m,a la palangrotte / dandinette - 10m,reelle,sargocentron spiniferum,holocentridae,holocentriformes
5,lion (ecureuil a rayures jaunes),Yellowstriped squirrelfish,1,<1,maurice noel 2016 palangrotte corail 10-15m,a la palangrotte / dandinette - 10m,reelle,neoniphon aurolineatus,holocentridae,holocentriformes
6,"rouget de roche, surmulet, capucin a longs barbillons",Longbarbel goatfish,1,<1,maurice noel 2016 palangrotte corail 10-15m,a la palangrotte / dandinette - 10m,reelle,Parupeneus macronemus,mullidae,perciforme
7,thon Albacore jaune - 48 kilos,yellowfin tuna,1,105,maurice noel Mars 2024 (Aurelien),a la traine en haute mer,reelle,Thunnus albacares,scombridae,scombriformes
8,Thon Germon jaune,Albacore tuna,1,10,maurice noel 2016 traine haute mer,a la traine en haute mer,reelle,Thunnus alalunga,scombridae,scombriformes
9,bonite a ventre raye ou thon listao,Skipjack tuna,3,6-8,maurice noel 2016 traine haute mer,a la traine en haute mer,reelle,Katsuwonus pelamis,scombridae,scombriformes
10,poisson lion (rascasse volante) ou pterois a antennes,Common lionfish,1,<1,maurice noel 2016 palangrotte corail 10-15m,a la palangrotte / dandinette - 10m,reelle,pterois miles,scorpaenidae,scorpaeniforme
11,"vieille rouge (merou oriflamme), merou badeche, nasque",blacktip grouper,1,<1,maurice noel 2016 palangrotte corail 10-15m,a la palangrotte / dandinette - 10m,reelle,Epinephelus fasciatus,serranidae,perciforme
12,merou chinois (merou aile noire),blackfin grouper,1,<1,maurice noel 2016 palangrotte corail 10-15m,a la palangrotte / dandinette - 10m,reelle,Cephalopholis nigripinnis,serranidae,perciforme
13,"carangine, ou Capitaine strie, vivaneau dore",Gold-lined seabream,1,<1,maurice noel 2016 palangrotte corail 10-15m,a la palangrotte / dandinette - 10m,reelle,Gnathodentex aureolineatus,Lethrinidae,spariformes
14,Capucin barberin,Dotdash goatfish,1,<1,maurice noel 2016 palangrotte corail 10-15m,a la palangrotte / dandinette - 10m,reelle,Parupeneus barberinus,mullidae,perciforme
15,"Cateau-la-mer, poisson-perroquet",checkerboard wrasse possible ?,1,<1,maurice noel 2016 palangrotte corail 10-15m,a la palangrotte / dandinette - 10m,reelle,Chlorurus sordidus,scaridae,perciforme
16,Selar queue jaune - Atule mate,yellowtail scad,3,1-2,Thailande 2024,a la palangrotte / dandinette - 10m,reelle,"Atule mate, Cuvier 1833",carangidae,carangiforme
17,scomberoides pelagicus,Deep bodied queenfish,5,3-5,Thailande 2024,a la palangrotte / dandinette - 10m,reelle,scomperoides pelagicus,carangidae,carangiforme
18,scomberoides tala,Barred queenfish,4,3-5,Thailande 2024,a la palangrotte / dandinette - 10m,reelle,scomberoides tala,carangidae,carangiforme
19,scomberoides commersonnianus,talang queenfish,4,3-5,Thailande 2024,a la palangrotte / dandinette - 10m,reelle,scomberoides commersonnianus,carangidae,carangiforme
20,Trevally scad,duskyfin crevalle,2,1-2,Thailande 2024,a la palangrotte / dandinette - 10m,reelle,alepes vari,carangidae,carangiforme
21,"Vivaneau de russell, vivaneau raye pale",Russell's snapper,1,1-2,Thailande 2024,a la palangrotte / dandinette - 10m,reelle,Lutjanus russellii,lutjanidae,perciforme
22,Lutjanus lutjanus,Big eye snapper,5,1-2,Thailande 2024,a la palangrotte / dandinette - 10m,reelle,lutjanus lutjanus,lutjanidae,perciforme
23,Lutjanus vitta,Brownstripe snapper,2,1-2,Thailande 2024,a la palangrotte / dandinette - 10m,reelle,lutjanus vitta,lutjanidae,perciforme
24,Notchedfin threadfin bream,Notchedfin threadfin bream,1,1-2,Thailande 2024,a la palangrotte / dandinette - 10m,reelle,Nemipterus peronii,nemipteridae,Acanthuriformes
25,"Merou areolate, merou areole, merou tachete, vieille",Yellow-spotted grouper,1,1-2,Thailande 2024,a la palangrotte / dandinette - 10m,reelle,Epinephelus areolatus,serranidae,perciforme
26,Merou longues ailes,Longfin grouper,1,<1,Thailande 2024,a la palangrotte / dandinette - 10m,reelle,Epinephelus quoyanus,serranidae,perciforme
27,Grand Barracuda de thailande a confirmer,Great barracuda,1,8,Thailande 2024,a la palangrotte / dandinette - 10m,reelle,Sphyraena barracuda,sphyraenidae,istiophoriforme
28,Barracuda a queue jaune,pickhanlde barracuda,1,6,Thailande 2024,a la palangrotte / dandinette - 10m,reelle,Sphyraena jello,sphyraenidae,istiophoriforme
